step	btrunk	carotid	inflow	outflow	subclavian	
00010	50.751595	12.170476	-187.488954	103.187750	21.385596	
00020	107.782195	26.974979	-410.781750	229.322774	46.658454	
00030	120.326927	32.264014	-501.416214	288.760406	59.602999	
00040	106.474906	28.783735	-464.346576	274.087090	54.880903	
00050	75.687188	23.637351	-375.208764	230.258781	46.311138	
00060	50.860893	15.366944	-263.104872	164.402399	32.437157	
00070	15.146793	6.488843	-116.243708	79.259134	15.327603	
00080	-10.129519	-1.263775	16.776207	-5.257049	-0.133111	
00090	-10.306019	-2.500874	45.042565	-28.239333	-4.003730	
00100	-1.315507	-0.558585	10.684895	-7.825531	-0.989291	
00110	2.484330	0.580754	-9.968732	5.729048	1.164775	
