step	btrunk	carotid	inflow	outflow	subclavian	
00010	24921.617452	24535.148634	27224.769045	21379.293832	24592.844895	
00020	77281.562519	75479.457926	76050.359824	67693.901758	73039.799483	
00030	132164.170036	130083.333756	128093.948125	119882.192904	127187.393294	
00040	173830.356405	170405.885454	166900.366038	161470.236969	167501.324712	
00050	197283.308759	195683.687276	193086.483964	189399.863170	193725.557839	
00060	206385.030391	203966.946799	202448.449435	201958.062617	203398.466068	
00070	196528.855028	196057.987346	194703.742902	197051.216969	195953.862088	
00080	173949.143274	174008.129114	173207.071950	175662.779715	174206.050595	
00090	153353.946568	153439.584257	153375.032968	153310.933900	153436.751670	
00100	140073.526747	140057.736033	140508.052274	139493.984253	140041.763231	
00110	129829.662788	129784.222495	130140.589452	129556.123636	129811.462917	
