step	cap_aorta	cap_aorta_2	cap_top(2)	cap_top(3)	cap_top(4)	
00010	-187.488955	104.220149	49.811263	21.239295	12.217214	
00020	-410.781753	237.307259	100.707489	47.229682	26.210327	
00030	-501.416211	295.940928	115.760053	58.906059	31.640693	
00040	-464.346583	278.237092	102.196551	55.943116	29.151795	
00050	-375.208768	226.212379	80.559646	45.840811	23.347248	
00060	-263.104871	159.627858	54.486818	33.094600	16.381403	
00070	-116.243709	73.995319	19.736601	16.014645	7.206712	
00080	16.776207	-7.095468	-8.132563	0.449142	-0.693813	
00090	45.042566	-27.611686	-10.466842	-3.914638	-2.475432	
00100	10.684895	-7.131362	-1.431780	-0.830951	-0.469354	
00110	-9.968732	6.257956	2.872851	1.321850	0.759900	
