step	cap_aorta	cap_aorta_2	cap_top(2)	cap_top(3)	cap_top(4)	
00010	25715.816977	21734.110707	24209.113375	24287.242986	24547.103158	
00020	74341.433518	69683.049644	72982.753703	73410.040769	73889.885009	
00030	126877.363285	122964.628650	125993.596700	126041.636828	126638.446250	
00040	167152.135690	165070.741613	166117.029785	166720.118068	167116.845167	
00050	192520.788075	191816.235466	191938.268399	192328.381401	192657.299768	
00060	202754.652929	203235.604461	203166.792584	202972.273482	203141.427120	
00070	195192.672478	197155.656560	195949.788374	196006.879489	195872.513371	
00080	173922.078351	175413.123836	174349.667381	174453.778786	174424.732918	
00090	153508.220356	153339.777236	153445.823973	153515.659255	153467.240928	
00100	140167.891058	139582.299985	139936.819293	140035.745301	139968.713923	
00110	129905.281123	129602.905530	129774.090220	129779.412157	129801.984250	
