step	cap_aorta	cap_aorta_2	cap_bct	cap_left_carotid	cap_left_subclavian	
00000	-0.000349	-0.000383	-0.000129	0.000029	0.000099	
00010	77.740691	-40.498124	-22.291805	-5.490095	-9.459939	
00020	170.953431	-86.793516	-49.935148	-12.726653	-21.472575	
00030	245.898397	-129.982268	-67.430951	-17.825626	-30.683007	
00040	276.292380	-150.387383	-72.184128	-19.347395	-34.377839	
00050	266.430474	-151.222145	-64.172029	-18.031452	-33.045067	
00060	238.951925	-142.000860	-52.546391	-15.224922	-29.263390	
00070	210.415016	-128.602819	-43.696988	-12.745661	-25.419297	
00080	178.742360	-111.625516	-35.316053	-10.459292	-21.307179	
00090	132.818841	-87.752275	-22.709591	-7.055715	-15.287560	
00100	71.460500	-53.021114	-7.574464	-2.958732	-7.903341	
00110	10.985845	-14.166067	3.861749	0.390018	-1.077865	
