step	cap_aorta	cap_aorta_2	cap_bct	cap_left_carotid	cap_left_subclavian	
00000	0.000000	0.000000	0.000000	0.000000	0.000000	
00010	-12263.392396	-8708.285087	-11121.538066	-11342.717823	-11116.897405	
00020	-37499.324244	-26112.392547	-35246.812987	-35552.930804	-33641.898279	
00030	-69923.631828	-50263.166379	-67052.284802	-67081.043096	-62624.185503	
00040	-100298.952494	-75482.782557	-97972.042883	-97290.017281	-91571.552733	
00050	-123607.673863	-97569.700890	-121817.613424	-121195.226082	-114885.035895	
00060	-138463.467137	-115436.413497	-137523.192179	-137138.123048	-131270.250531	
00070	-148097.646456	-129152.913897	-147335.533875	-147170.345272	-142510.111545	
00080	-152959.200439	-138536.795959	-152409.992712	-152356.216746	-148743.711825	
00090	-150855.651305	-142451.788829	-150898.615154	-150806.790655	-148533.948472	
00100	-141565.583225	-139042.676760	-141989.457007	-141886.143417	-141039.967325	
00110	-127514.177795	-128367.106626	-127917.761853	-127891.349554	-127904.025149	
