step	cap_Aorta	cap_Aorta_2	cap_BTrunk	cap_Carotid	cap_Subclavian	
00010	-228.414325	128.449832	58.211376	15.167944	26.590392	
00020	-252.300581	144.858286	60.578768	16.625317	30.238756	
00030	-265.599051	154.181288	62.055641	17.282585	32.079506	
00040	-267.349256	156.648310	61.170725	17.163619	32.366905	
00050	-257.486193	152.366468	57.651235	16.282951	31.185610	
00060	-236.678912	141.580474	51.712867	14.721169	28.664349	
00070	-206.300359	124.905729	43.794105	12.602531	24.998289	
00080	-168.465614	103.385557	34.518624	10.095449	20.465667	
00090	-125.741209	78.420448	24.553786	7.378444	15.388257	
00100	-81.029230	51.713350	14.577983	4.629280	10.109092	
00110	-37.385889	25.158859	5.234949	2.016889	4.975574	
