step	cap_Aorta	cap_Aorta_2	cap_BTrunk	cap_Carotid	cap_Subclavian	
00010	44155.983140	36102.475031	42040.786856	43406.502392	40716.463733	
00020	70601.155650	60873.991573	68442.568781	69763.467844	66411.942903	
00030	95636.746370	85001.311658	93502.747958	94797.762605	91054.264133	
00040	118038.304313	107285.461343	116082.731875	117275.302969	113443.599238	
00050	136662.789483	126628.813036	135045.181054	136047.115583	132431.813109	
00060	150649.562018	142067.158833	149476.448553	150231.183404	147093.907375	
00070	159463.946919	152849.781694	158766.643653	159265.024774	156786.026131	
00080	162939.588465	158498.707359	162667.418607	162946.817822	161197.305533	
00090	161240.217526	158851.900330	161283.143629	161411.252114	160353.814861	
00100	154821.578507	154093.365038	155049.977421	155100.265937	154606.353631	
00110	144384.397537	144751.778069	144686.269860	144716.188872	144601.013741	
